mij_mii,mij
.0001195,.0001037
.0002543,.0002206
.0004367,.0003789
.0027202,.0023599
.0003451,.0002994
.00051,.0004425
.0002004,.0001738
.00034,.000295
.00017,.0001475
.0013601,.00118
.0000749,.000065
.0002667,.0002314
.0000276,.000024
.0001165,.0001011
.0000438,.000038
.00017,.0001475
.0001667,.0001446
.0005281,.0004582
.00017,.0001475
.00051,.0004425
.0001129,.0000979
.00034,.000295
.0000568,.0000493
.0085005,.0073747
.0004241,.0003679
.00051,.0004425
.0002005,.0001739
.00017,.0001475
.00034,.000295
.0057803,.0050148
.0000419,.0000363
.0010201,.000885
.00034,.000295
.00068,.00059
.0009201,.0007982
.0030602,.0026549
.0001189,.0001031
.0017001,.0014749
.0003554,.0001736
.0002015,.0000984
.0006045,.0002953
.0074552,.0036423
.0001007,.0000492
.0005037,.0002461
1,.4885574
.898247,.4388452
.0001068,.0000522
.000806,.0003938
.0010075,.0004922
.0639734,.0312547
.0004091,.0001999
.0011082,.0005414
.0001783,.0000871
.0014104,.0006891
.0001007,.0000492
.0013097,.0006399
.0001063,.0000519
.0003467,.0001694
.0001052,.0000514
.0003022,.0001477
.0001349,.0000659
.000403,.0001969
.0004526,.0002211
.0012089,.0005906
.0004384,.0002142
.000806,.0003938
.0002898,.0001416
.0014104,.0006891
.0001007,.0000492
.005541,.0027071
.0003022,.0001477
.0009067,.000443
.000074,.0000361
.0002015,.0000984
.0001154,.0000564
.000806,.0003938
.0000616,.0000301
.0002015,.0000984
.0000774,.0000378
.0005037,.0002461
.0002015,.0000984
.0012089,.0005906
.000806,.0003938
.0279065,.0136339
.0001003,.000049
.0013097,.0006399
.0001607,.0000785
.0012089,.0005906
.0002015,.0000984
.0005037,.0002461
.000076,.0000372
.0050373,.002461
.0004364,.0002132
.0009067,.000443
.0003025,.0001478
.0040298,.0019688
.0003022,.0001477
.0093693,.0045775
.0002609,.0002327
.0008026,.0007159
.0000465,.0000415
.0048154,.0042955
.0000643,.0000573
.0010032,.0008949
.0391252,.0349006
1,.8920241
.0000784,.0000699
.0001599,.0001426
.0036575,.0032626
.0250803,.0223722
.0003003,.0002679
.0014045,.0012528
.0001309,.0001168
.0018058,.0016108
.0003316,.0002958
.0010032,.0008949
.000078,.0000696
.0004013,.000358
.0000772,.0000689
.0014045,.0012528
.0000991,.0000884
.0002006,.000179
.0003323,.0002964
.0006019,.0005369
.0003219,.0002871
.0004013,.000358
.0002128,.0001898
.0006019,.0005369
.0004519,.0004031
.0022071,.0019688
.0009196,.0008203
.0010032,.0008949
.0000543,.0000485
.000229,.0002043
.0000847,.0000756
.0008026,.0007159
.0000452,.0000404
.0001434,.0001279
.0000568,.0000507
.000268,.0002391
.0002056,.0001834
.0002006,.000179
.0005459,.000487
.0184591,.0164659
.0000736,.0000657
.0004013,.000358
.000118,.0001052
.0003178,.0002835
.0001169,.0001043
.0010032,.0008949
.0000558,.0000498
.0022071,.0019688
.0003204,.0002858
.0002006,.000179
.0002221,.0001981
.0014045,.0012528
.002519,.002247
.0016051,.0014318
.0000256,.0000226
.0000656,.000058
.0000769,.0000679
.0021012,.0018571
.0000733,.0000648
.0002808,.0002482
.0000152,.0000135
.00041,.0003624
1,.8838352
.0990365,.087532
.0000756,.0000668
.0051504,.0045521
.0000334,.0000295
.0001321,.0001168
.0000604,.0000534
.0002347,.0002075
.0000278,.0000245
.0001652,.000146
.0000574,.0000507
.0000512,.0000453
.0000331,.0000293
.0000993,.0000878
.0000481,.0000425
.0000256,.0000226
.0000628,.0000555
.0001537,.0001359
.0000282,.000025
.0001027,.0000908
.0012299,.0010871
.0025368,.0022421
.0000512,.0000453
.0002819,.0002491
.0000128,.0000113
.0000454,.0000401
.000021,.0000186
.0000886,.0000783
.0000256,.0000226
.0000769,.0000679
.0008456,.0007474
.0010506,.0009285
.0000256,.0000226
.0018705,.0016533
.0000256,.0000226
.0000256,.0000226
.0000197,.0000174
.0022037,.0019477
.0002306,.0002038
.00082,.0007247
.0000256,.0000226
.0000512,.0000453
.0002742,.0002424
.000205,.0001812
.0000256,.0000226
.003408,.0030121
.0024855,.0021968
.0036386,.0032159
.0001475,.0001303
.0006469,.0005717
.0000512,.0000453
.0003587,.0003171
.0000387,.0000332
.0001019,.0000874
.0001352,.000116
.0071631,.0061468
.0001138,.0000977
.0004363,.0003744
.0000237,.0000203
.0001352,.000116
.1239357,.1063511
1,.8581154
.0001175,.0001008
.0067577,.0057989
.0000519,.0000446
.0004055,.0003479
.0000938,.0000805
.0003647,.000313
.0000431,.000037
.0002566,.0002202
.0000892,.0000765
.0002909,.0002497
.0000515,.0000442
.0001543,.0001324
.0000748,.0000642
.0001352,.000116
.0000975,.0000837
.0001352,.000116
.0000439,.0000377
.0001352,.000116
.0003554,.0003049
.0006758,.0005799
.0000582,.0000499
.0005406,.0004639
.0000198,.000017
.0000706,.0000606
.0000327,.000028
.0001376,.0001181
.0000503,.0000432
.0001352,.000116
.0001352,.000116
.0010812,.0009278
.0017575,.0015081
.0039194,.0033633
.0000986,.0000846
.0002703,.000232
.0000306,.0000263
.0045952,.0039432
.0001352,.000116
.0009461,.0008118
.0003158,.000271
.0001352,.000116
.0004261,.0003656
.0005406,.0004639
.0000533,.0000458
.0039194,.0033633
.0005406,.0004639
.0012164,.0010438
.0002292,.0001966
.0004055,.0003479
.0000539,.0000463
.0010812,.0009278
.0000113,7.12e-06
.0000298,.0000187
3.35e-06,2.10e-06
.0003358,.000211
.0000292,.0000183
.0000146,9.17e-06
.0000292,.0000183
.0002044,.0001284
9.51e-06,5.98e-06
.0000194,.0000122
1,.6283625
.5862814,.3683972
.0001022,.0000642
.0003212,.0002018
.0000292,.0000183
.0001325,.0000832
.0001168,.0000734
.0011534,.0007248
5.50e-06,3.46e-06
.0000179,.0000113
5.70e-06,3.58e-06
.0000171,.0000107
6.98e-06,4.39e-06
.0000292,.0000183
.0000146,9.17e-06
.0000876,.000055
.0000292,.0000183
.0001022,.0000642
.0000172,.0000108
.0000337,.0000211
.0000174,.0000109
.0001314,.0000826
.0000146,9.17e-06
.0001898,.0001193
3.76e-06,2.36e-06
.0000158,9.95e-06
5.51e-06,3.46e-06
.0000292,.0000183
4.94e-06,3.10e-06
.0000156,9.83e-06
7.32e-06,4.60e-06
.0000345,.0000217
.0000119,7.46e-06
.000073,.0000459
.000015,9.44e-06
.0007738,.0004862
.0000146,9.17e-06
.0000584,.0000367
9.76e-06,6.13e-06
.0000876,.000055
.0000146,9.17e-06
.0001022,.0000642
3.80e-06,2.39e-06
.0001168,.0000734
.0000146,9.17e-06
